Parametros,Rodada,Acuracia,F1ScoreMacro,TempoProcessamento,DataExecucao,Estatisticas
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",2,0.83,0.6542306178669814,0.05622982978820801,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",3,0.88,0.7375029613835584,0.06011962890625,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",4,0.92,0.7775885316868923,0.0527646541595459,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",5,0.84,0.7119708994708994,0.07295513153076172,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",6,0.78,0.6336594911937377,0.07513713836669922,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",7,0.92,0.7990810359231413,0.06162691116333008,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",8,0.84,0.6971807628524046,0.0690164566040039,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",9,0.94,0.8524590163934426,0.07017636299133301,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",0,0.79,0.6348453478888261,0.03916740417480469,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",1,0.74,0.5708503401360544,0.04285001754760742,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",2,0.7,0.48565079365079367,0.04488253593444824,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",3,0.83,0.6826172985263894,0.0378108024597168,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",4,0.81,0.6357936507936508,0.044487953186035156,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",5,0.79,0.6139620696763552,0.036370038986206055,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",6,0.76,0.6169542213020474,0.03656578063964844,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",7,0.85,0.6932392710170487,0.03131270408630371,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",8,0.78,0.6352859662383471,0.03415346145629883,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": null}",9,0.83,0.6959016393442622,0.0359957218170166,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""tfidf"", ""ngram_range"": [1, 1], ""norm"": ""l2""}",0,0.87,0.7156496471564965,0.02801346778869629,2024-02-24 22:30:04,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
